2	16	14	1	.8	7	5	7	5
2	10	10	10	3.2	7	8.5	5	-99
2	10	12	.6	.8	5	7.5	5	7.5
2	15	10	1	.8	2.5	2	3	2
2	20	12	.4	.2	2.5	1.5	2.5	2
2	20	10	.2	.2	2	1	5	1
2	10	8	1	.4	5	1	5	1
2	6	5	.4	.2	5	2	5	1.5
2	10	5	0	0	0	0	0	0
2	15	10	1	.4	3	1	5	2.5
2	20	15	.4	.2	1.5	1	1.5	.5
2	14	14	1	.6	5	4.5	5	5
2	20	10	0	0	0	0	0	0
2	10	4	.6	.2	7.5	3	10	5
2	19	10	1	.2	8.5	2	13	5
2	25	15	1	.2	15	10	20	10
2	10	5	.4	.2	10	5	10	5
2	15	10	.2	.2	5	4	7	6
2	12	9	1	.4	4.5	2.5	7.5	4.5
2	20	10	1	.2	10	1	10	1
2	15	10	.8	.4	5	2.5	5	2.5
2	20	15	1	.6	5	2.5	10	5
2	20	35	1.2	1.6	0	0	1.5	2
2	15	42	1.2	5	8	14	7	14
2	20	12	1	.6	5	3	6	3.5
2	10	5	1.4	.4	0	0	0	0
2	15	12	1	.2	4	.5	2.5	0
2	10	5	.4	0	1	0	1	0
2	8	8	1	1.2	5	4.5	6.5	7.5
2	12	12	.2	.2	1.5	1	2	1
2	15	9	1.4	.6	5	2.5	7	4
2	16	5	.8	.4	5	3	5	2
2	10	10	1.8	2.8	3	3.5	6	8.5
2	20	10	1	.4	10	3.5	12.5	9
2	20	15	.4	0	1.5	0	5	2
2	9	10	1	.4	.5	1	.5	0
2	20	15	2	1	10	5	10	5
2	14	4	1	0	2.5	.5	2	0
2	14	20	1	.2	-99	-99	7.5	5
2	20	10	.2	.2	2.5	.5	3	1
2	10	4	.4	.2	1	0	1	0
2	10	5	.2	0	1	1	1	1
2	25	15	2.2	1.4	7.5	5	12.5	7.5
2	12	9	-99	-99	0	0	.5	0
2	15	4	3	1	10	3.5	0	0
2	15	10	1.6	1	1.5	1	10	5
2	16	10	.4	.2	3.5	1	4	1.5
2	20	15	4	2.4	10.5	8	9.5	7
2	12	9	4	3	10	7.5	10	8
2	10	12	1	.8	4	2.5	2	2.5
2	10	11	.2	.2	1	1.5	1	1.5
2	15	10	1	.4	9.5	4.5	9.5	5
2	10	5	.6	.2	10	2	10	2
2	10	3	.2	0	1	.5	.5	0
2	5	10	.4	.6	4	5	9	10
2	8	4	.6	.2	5	1.5	4	.5
2	17	12	1.4	.8	10	5	15	12.5
2	15	15	2	2	5	5	5	5
2	10	15	1	2.6	10	15	10	15
2	20	7	.8	.2	12.5	5	9	4
2	20	5	1	.2	5	2.5	5	2.5
2	5	1	.8	1	5	2.5	5	2.5
2	10	7	1	1.4	10	10	5	6
2	16	7	1.8	1	7.5	3	5	2
2	10	10	0	0	0	0	0	0
2	12	10	.6	.4	2.5	1	3	1
2	15	10	1	.4	5	3	5	3
2	25	15	3.8	.4	11	4.5	11.5	9
2	15	8	.8	.2	5	0	2	0
2	6	0	.2	0	.5	0	.5	0
2	10	10	0	1	1.5	1.5	1.5	1.5
2	10	6	.8	.6	1.5	3	1	2.5
2	15	10	.4	.2	1.5	1	-99	-99
2	20	10	1	.4	10	5	15	5
2	5	5	.4	.4	.5	.5	1	1
2	15	10	2	1	0	0	4.5	2.5
2	15	12	1.8	1	24	18	25	18.5
2	22	19	1	.2	5	2.5	5	2.5
2	10	15	.4	.8	2.5	3.5	5	7.5
2	18	8	2.4	.6	10	5	10	5
2	0	0	0	0	0	0	0	0
2	20	21	5.6	3.8	11.5	9	13	10
2	15	11	1.6	.8	24.5	13.5	24.5	13
2	5	7	.4	.6	3	3.5	3.5	4
2	10	7	.6	.2	7.5	5	10	5
2	10	7	-99	-99	3	.5	3	1
2	6	3	.4	.2	5	2.5	6	3
2	10	15	1	2	2.5	5.5	2.5	4.5
3	15	5	1	.4	10	5	10	5
3	5	1	.2	0	5	3	7.5	5
3	15	6	.4	.2	5	1	5	1
3	15	5	0	0	1	0	1	0
